game_id,player_id,game_title,game_rating,game_demo_graphics,genre,age,gender,playing_time,study_time,review_category,game_review,preferred_genre
c321ee48-19f3-4850-bd4d-9cf821c10de0,d343c995-1e40-4da6-968c-f184cc69ffe5,Extended well-modulated software,1,Ultra,Action,20,Male,3.65,4.17,negative,Boring disappointed awful boring hate boring horrible.,Action
746e9eb2-bbb4-42ec-97c2-253bd39e65e5,0a782e42-128d-40a7-b14b-b24f3c66531e,Polarized multi-state open architecture,10,High,RPG,16,Non-binary,5.03,4.13,positive,Love good great.,Strategy
e69d344a-bc1d-483b-9411-03cad6478526,ec8598b7-afc0-4f98-a9a1-9045cd6d6e3c,Down-sized fresh-thinking ability,8,Medium,RPG,18,Non-binary,5.26,3.74,neutral,Ordinary ordinary decent mediocre fair fine decent.,RPG
7e782b81-c1d0-4b7c-8479-3ef48a2bb5cd,0e8d132a-64af-46b3-8327-9a47f74c997f,Enterprise-wide methodical neural-net,6,Low,RPG,15,Female,3.92,5.29,neutral,Fair acceptable ordinary.,RPG
56bbd733-286f-4cff-b33d-a1a3923be0b7,46f75001-19e3-4677-83a0-be3acbb86399,Fully-configurable asymmetric analyzer,5,Medium,Action,18,Female,2.89,6.16,positive,Fantastic love good great awesome nice good.,Action
83746801-99a5-415a-a18a-17ed9b6387a4,2d034bdb-8957-436d-a19d-fa3466682784,Devolved heuristic installation,7,Low,Adventure,15,Female,6.0,2.25,neutral,Fine mediocre standard decent.,Adventure
42c92726-6164-4dc7-bbc9-70e638c79421,52443c7b-9ac5-4418-9ce7-4d934d93bd36,Multi-layered systematic approach,9,Ultra,Strategy,16,Non-binary,4.18,4.83,positive,Amazing amazing excellent love excellent amazing superb.,Strategy
cb7db893-04aa-46ce-ba30-b5be37f2e726,011f6279-9b65-488d-955b-719627f908fa,Organized explicit workforce,10,Ultra,Simulation,17,Other,3.74,5.23,neutral,Not Bad ordinary ordinary okay fine ordinary standard.,Simulation
ea6720c5-71bd-4c5c-a349-4ab09e0b52c5,98e4b989-5d62-436b-95ce-16f7d2664415,Synergistic next generation Graphical User Interface,6,Ultra,Strategy,16,Female,4.95,3.85,neutral,Standard mediocre ordinary fair standard standard not bad ordinary.,Strategy
588f6137-1e41-48cc-a601-bf00b72d16e2,037d1b3a-6e80-43a6-a549-c5e86205fd52,Ameliorated secondary parallelism,10,High,Sports,19,Other,2.05,7.72,neutral,Acceptable ordinary not bad fair acceptable.,Sports
59484f28-06a3-4e1a-8455-c547cab85fe0,aa20565f-4875-40f6-9429-0a6c40626d73,Proactive hybrid system engine,4,Low,Simulation,21,Female,3.28,5.5,negative,Awful terrible boring hate worst horrible.,Simulation
